Name,Age,Year,Cmp,Att,Yds,TD
Joe Montana,38,Career,3409,5391,40551,273
Dave Krieg,40,1980,0,2,0,0
Dave Krieg,40,1981,64,112,843,7
Dave Krieg,40,1982,49,78,501,2
Dave Krieg,40,1983,147,243,2139,18
Dave Krieg,40,1984,276,480,3671,32
Dave Krieg,40,1985,285,532,3602,27
Dave Krieg,40,1986,225,375,2921,21
Dave Krieg,40,1987,178,294,2131,23
Dave Krieg,40,1988,134,228,1741,18
Dave Krieg,40,1989,286,499,3309,21
Dave Krieg,40,1990,265,448,3194,15
Dave Krieg,40,1991,187,285,2080,11
Dave Krieg,40,1992,230,413,3115,15
Dave Krieg,40,1993,105,189,1238,7
Dave Krieg,40,1994,131,212,1629,14
Dave Krieg,40,1995,304,521,3554,16
Dave Krieg,40,1996,226,377,2278,14
Dave Krieg,40,1997,1,2,2,0
Dave Krieg,40,1998,12,21,199,0
Dave Krieg,40,Career,3105,5311,38147,261
Eli Manning,33,2004,95,197,1043,6
Eli Manning,33,2005,294,557,3762,24
Eli Manning,33,2006,301,522,3244,24
Eli Manning,33,2007,297,529,3336,23
Eli Manning,33,2008,289,479,3238,21
Eli Manning,33,2009,317,509,4021,27
Eli Manning,33,2010,339,539,4002,31
Eli Manning,33,2011,359,589,4933,29
Eli Manning,33,2012,321,536,3948,26
Eli Manning,33,2013,317,551,3818,18
Eli Manning,33,2014,379,601,4410,30
Eli Manning,33,Career,3308,5609,39755,259
Sonny Jurgensen,40,1957,33,70,470,5
Sonny Jurgensen,40,1958,12,22,259,0
Sonny Jurgensen,40,1959,3,5,27,1
Sonny Jurgensen,40,1960,24,44,486,5
Sonny Jurgensen,40,1961,235,416,3723,32
Sonny Jurgensen,40,1962,196,366,3261,22
Sonny Jurgensen,40,1963,99,184,1413,11
Sonny Jurgensen,40,1964,207,385,2934,24
Sonny Jurgensen,40,1965,190,356,2367,15
Sonny Jurgensen,40,1966,254,436,3209,28
Sonny Jurgensen,40,1967,288,508,3747,31
Sonny Jurgensen,40,1968,167,292,1980,17
Sonny Jurgensen,40,1969,274,442,3102,22
Sonny Jurgensen,40,1970,202,337,2354,23
Sonny Jurgensen,40,1971,16,28,170,0
Sonny Jurgensen,40,1972,39,59,633,2
Sonny Jurgensen,40,1973,87,145,904,6
Sonny Jurgensen,40,1974,107,167,1185,11
Sonny Jurgensen,40,Career,2433,4262,32224,255
Dan Fouts,36,1973,87,194,1126,6
Dan Fouts,36,1974,115,237,1732,8
Dan Fouts,36,1975,106,195,1396,2
Dan Fouts,36,1976,208,359,2535,14
Dan Fouts,36,1977,69,109,869,4
Dan Fouts,36,1978,224,381,2999,24
Dan Fouts,36,1979,332,530,4082,24
Dan Fouts,36,1980,348,589,4715,30
Dan Fouts,36,1981,360,609,4802,33
Dan Fouts,36,1982,204,330,2883,17
Dan Fouts,36,1983,215,340,2975,20
Dan Fouts,36,1984,317,507,3740,19
Dan Fouts,36,1985,254,430,3638,27
Dan Fouts,36,1986,252,430,3031,16
Dan Fouts,36,1987,206,364,2517,10
Dan Fouts,36,Career,3297,5604,43040,254
Philip Rivers,33,2004,5,8,33,1
Philip Rivers,33,2005,12,22,115,0
Philip Rivers,33,2006,284,460,3388,22
Philip Rivers,33,2007,277,460,3152,21
Philip Rivers,33,2008,312,478,4009,34
Philip Rivers,33,2009,317,486,4254,28
Philip Rivers,33,2010,357,541,4710,30
Philip Rivers,33,2011,366,582,4624,27
Philip Rivers,33,2012,338,527,3606,26
Philip Rivers,33,2013,378,544,4478,32
Philip Rivers,33,2014,379,570,4286,31
Philip Rivers,33,Career,3025,4678,36655,252
Ben Roethlisberger,32,2004,196,295,2621,17
Ben Roethlisberger,32,2005,168,268,2385,17
Ben Roethlisberger,32,2006,280,469,3513,18
Ben Roethlisberger,32,2007,264,404,3154,32
Ben Roethlisberger,32,2008,281,469,3301,17
Ben Roethlisberger,32,2009,337,506,4328,26
Ben Roethlisberger,32,2010,240,389,3200,17
Ben Roethlisberger,32,2011,324,513,4077,21
Ben Roethlisberger,32,2012,284,449,3265,26
Ben Roethlisberger,32,2013,375,584,4261,28
Ben Roethlisberger,32,2014,408,608,4952,32
Ben Roethlisberger,32,Career,3157,4954,39057,251
Drew Bledsoe,34,1993,214,429,2494,15
Drew Bledsoe,34,1994,400,691,4555,25
Drew Bledsoe,34,1995,323,636,3507,13
Drew Bledsoe,34,1996,373,623,4086,27
Drew Bledsoe,34,1997,314,522,3706,28
Drew Bledsoe,34,1998,263,481,3633,20
Drew Bledsoe,34,1999,305,539,3985,19
Drew Bledsoe,34,2000,312,531,3291,17
Drew Bledsoe,34,2001,40,66,400,2
Drew Bledsoe,34,2002,375,610,4359,24
Drew Bledsoe,34,2003,274,471,2860,11
Drew Bledsoe,34,2004,256,450,2932,20
Drew Bledsoe,34,2005,300,499,3639,23
Drew Bledsoe,34,2006,90,169,1164,7
Drew Bledsoe,34,Career,3839,6717,44611,251
Boomer Esiason,36,1984,51,102,530,3
Boomer Esiason,36,1985,251,431,3443,27
Boomer Esiason,36,1986,273,469,3959,24
Boomer Esiason,36,1987,240,440,3321,16
Boomer Esiason,36,1988,223,388,3572,28
Boomer Esiason,36,1989,258,455,3525,28
Boomer Esiason,36,1990,224,402,3031,24
Boomer Esiason,36,1991,233,413,2883,13
Boomer Esiason,36,1992,144,278,1407,11
Boomer Esiason,36,1993,288,473,3421,16
Boomer Esiason,36,1994,255,440,2782,17
Boomer Esiason,36,1995,221,389,2275,16
Boomer Esiason,36,1996,190,339,2293,11
Boomer Esiason,36,1997,118,186,1478,13
Boomer Esiason,36,Career,2969,5205,37920,247
John Hadle,37,1962,107,260,1632,15
John Hadle,37,1963,28,64,502,6
John Hadle,37,1964,147,274,2157,18
John Hadle,37,1965,174,348,2798,20
John Hadle,37,1966,200,375,2846,23
John Hadle,37,1967,217,427,3365,24
John Hadle,37,1968,208,440,3473,27
John Hadle,37,1969,158,324,2253,10
John Hadle,37,1970,162,327,2388,22
John Hadle,37,1971,233,431,3075,21
John Hadle,37,1972,190,370,2449,15
John Hadle,37,1973,135,258,2008,22
John Hadle,37,1974,142,299,1752,8
John Hadle,37,1975,191,353,2095,6
John Hadle,37,1976,60,113,634,7
John Hadle,37,1977,11,24,76,0
John Hadle,37,Career,2363,4687,33503,244
Y A Tittle,38,1948,161,289,2522,16
Y A Tittle,38,1949,148,289,2209,14
Y A Tittle,38,1950,161,315,1884,8
Y A Tittle,38,1951,63,114,808,8
Y A Tittle,38,1952,106,208,1407,11
Y A Tittle,38,1953,149,259,2121,20
Y A Tittle,38,1954,170,295,2205,9
Y A Tittle,38,1955,147,287,2185,17
Y A Tittle,38,1956,124,218,1641,7
Y A Tittle,38,1957,176,279,2157,13
Y A Tittle,38,1958,120,208,1467,9
Y A Tittle,38,1959,102,199,1331,10
Y A Tittle,38,1960,69,127,694,4
Y A Tittle,38,1961,163,285,2272,17
Y A Tittle,38,1962,200,375,3224,33
Y A Tittle,38,1963,221,367,3145,36
Y A Tittle,38,1964,147,281,1798,10
Y A Tittle,38,Career,2427,4395,33070,242
Tony Romo,34,2004,0,0,0,0
Tony Romo,34,2005,0,0,0,0
Tony Romo,34,2006,220,337,2903,19
Tony Romo,34,2007,335,520,4211,36
Tony Romo,34,2008,276,450,3448,26
Tony Romo,34,2009,347,550,4483,26
Tony Romo,34,2010,148,213,1605,11
Tony Romo,34,2011,346,522,4184,31
Tony Romo,34,2012,425,648,4903,28
Tony Romo,34,2013,342,535,3828,31
Tony Romo,34,2014,304,435,3705,34
Tony Romo,34,Career,2743,4210,33270,242
